team_name,opponent_name,team_city,opponent_city,distance
Fontinhas,Praiense,Praia da Vitória,Praia da Vitória,3
Fontinhas,Torreense,Praia da Vitória,Torres Vedras,1552
Freamunde,Joane,Freamunde,Famalicão,18
Freamunde,Maria da Fonte,Freamunde,Póvoa de Lanhoso,34
Fátima,Boavista,Fátima,Porto,5826
Fátima,Carapinheirense,Fátima,Carapinheira,5743
Fátima,Chaves,Fátima,Chaves,5932
Fátima,Coutada,Fátima,Viseu,5802
Fátima,Eléctrico,Fátima,Ponte de Sor,5697
Fátima,Mação,Fátima,Mação,5725
Fátima,Olhanense,Fátima,Olhão,5521
Fátima,Oliveirense,Fátima,Oliveira de Azeméis,5805
Fátima,Pampilhosa,Fátima,Pampilhosa,5766
GD Prado,Carção,Vila Verde,Vimioso,154
GIL Vicente,Arouca,Barcelos,Arouca,74
GIL Vicente,Casa Pia,Barcelos,Lisbon,314
GIL Vicente,Chaves,Barcelos,Chaves,92
GIL Vicente,FC Porto,Barcelos,Porto,52
GR Vigor Mocidade,União de Coimbra,Coimbra,Coimbra,44
GRAP,AD Portomosense,Leiria,Porto de Mós,16
GRAP,Alqueidão da Serra,Leiria,Porto de Mós,14
GRAP,CD Torres Novas,Leiria,Torres Novas,36
GRAP,Cova De Piedade,Leiria,Cova da Piedade,123
GRAP,União Santiago,Leiria,Santiago do Cacém,194
Gafanha,Anadia,Gafanha da Nazaré,Anadia,32
Gafanha,FC Porto,Gafanha da Nazaré,Porto,51
Gafanha,Freamunde,Gafanha da Nazaré,Freamunde,79
Gafetense,Academico Viseu,Gáfete,Viseu,140
Gafetense,Mafra,Gáfete,Mafra,150
Gafetense,Santa Iria,Gáfete,Santa Iria de Azóia,136
Gavionenses,Mortágua,Gavião,Mortágua,108
Ginásio Figueirense,Mortágua,Figueira da Foz,Mortágua,58
Ginásio de Alcobaça,Sourense,Alcobaça,Soure,64
Ginásio de Alcobaça,Vizela,Alcobaça,Vizela,211
Gondomar,Cova De Piedade,Gondomar,Cova da Piedade,348
Gondomar,Leça,Gondomar,Leça da Palmeira,66
Gondomar,Penafiel,Gondomar,Penafiel,60
Gondomar,Rebordosa,Gondomar,Paredes,58
Gondomar,Salgueiros,Gondomar,Porto,67
Gondomar,Santa Clara,Gondomar,Ponta Delgada,1547
Gondomar,Sporting Mêda,Gondomar,Mêda,130
Gondomar,Valadares Gaia,Gondomar,Vila Nova de Gaia,75
Gouveia,Academica,Gouveia,Coimbra,80
Gouveia,Beira-Mar,Gouveia,Aveiro,96
Guadalupe,Fabril Barreiro,"Guadalupe, Azores",Barreiro,1645
Guadalupe,Operário,"Guadalupe, Azores","Lagoa, Azores",259
Guimaraes,Chaves,Guimarães,Chaves,70
Guimaraes,FC Porto,Guimarães,Porto,45
Guimaraes,Feirense,Guimarães,Santa Maria da Feira,60
Guimaraes,GIL Vicente,Guimarães,Barcelos,29
Guimaraes,Santa Clara,Guimarães,Ponta Delgada,1546
Guimaraes,Vilaverdense,Guimarães,Vila Verde,27
Guimaraes,Vizela,Guimarães,Vizela,6
Ideal,Almodôvar,Ponta Delgada,Almodôvar,1552
Ideal,Cova De Piedade,Ponta Delgada,Cova da Piedade,1448
Ideal,Merelinense,Ponta Delgada,Braga,1534
Ideal,Praiense,Ponta Delgada,Praia da Vitória,165
Ideal,Real,Ponta Delgada,Queluz,1439
Ideal,Valadares Gaia,Ponta Delgada,Vila Nova de Gaia,1510
Ideal,Vale Formoso,Ponta Delgada,Covilhã,1607
Imortal Albufeira,Farense,Albufeira,Faro,29
Imortal Albufeira,Vilafranquense,Albufeira,Vila Franca de Xira,219
Joane,Barrosas,Famalicão,Felgueiras,18
Joane,Belenenses,Famalicão,Lisbon,309
Joane,Fafe,Famalicão,Fafe,20
Joane,SC Covilha,Famalicão,Covilhã,150
Juventude Évora,Academica,Évora,Coimbra,196
Juventude Évora,Armacenenses,Évora,Armação de Pêra,186
Juventude Évora,Moncarapachense,Évora,Moncarapacho,173
Juventude Évora,Portel,Évora,,7614
Juventude Évora,Sintrense,Évora,Sintra,169
Juventude Évora,Vilafranquense,Évora,Vila Franca de Xira,142
Lagos,Comércio Indústria,Lagos,Setúbal,182
Lagos,Lusitano GC Évora,Lagos,Évora,175
