team_name,opponent_name,Distance,distance
SV Rodinghausen,SC Paderborn 07,,
SV Sandhausen,Bayer Leverkusen,,
SV Sandhausen,Borussia Dortmund,,
SV Sandhausen,Borussia Monchengladbach,,
SV Sandhausen,Energie Cottbus,,
SV Sandhausen,FC Heidenheim,,
SV Sandhausen,FC Nurnberg,,
SV Sandhausen,Hannover 96,,
SV Sandhausen,Karlsruher SC,,
SV Sandhausen,RB Leipzig,,
SV Wehen,1.FC Köln,,
SV Wehen,Borussia Dortmund,,
SV Wehen,Erzgebirge Aue,,
SV Wehen,FC Heidenheim,,
SV Wehen,FC Kaiserslautern,,
SV Wehen,FC Schalke 04,,
SV Wehen,FC St. Pauli,,
SV Wehen,Hamburger SV,,
SV Wehen,Jahn Regensburg,,
SV Wehen,RB Leipzig,,
SV Wehen,VfB Stuttgart,,
Salmrohr,Holstein Kiel,,
Salmrohr,Vfl Bochum,,
Sc Hauenstein,Bayer Leverkusen,,
Schott Jena,Hamburger SV,,
Schott Mainz,Borussia Dortmund,,
Schott Mainz,Hannover 96,,
Schwarz-Weiß Rehden,Bayern Munich,,
Schwarz-Weiß Rehden,SV Sandhausen,,
Schwarz-Weiß Rehden,VfR Aalen,,
Schönberg,VfL Wolfsburg,,
SpVgg Greuther Furth,Borussia Dortmund,,
SpVgg Greuther Furth,Borussia Monchengladbach,,
SpVgg Greuther Furth,FC Ingolstadt 04,,
SpVgg Greuther Furth,FSV Mainz 05,,
SpVgg Greuther Furth,SC Paderborn 07,,
SpVgg Unterhaching,1.FC Köln,,
SpVgg Unterhaching,Bayer Leverkusen,,
SpVgg Unterhaching,FC Augsburg,,
SpVgg Unterhaching,FC Heidenheim,,
SpVgg Unterhaching,FC Ingolstadt 04,,
SpVgg Unterhaching,FSV Mainz 05,,
SpVgg Unterhaching,Fortuna Dusseldorf,,
SpVgg Unterhaching,RB Leipzig,,
SpVgg Unterhaching,SC Freiburg,,
SpVgg Unterhaching,Vfl Bochum,,
Sportfreunde Dorfmerkingen,RB Leipzig,,
Sportfreunde Lotte,Bayer Leverkusen,,
Sportfreunde Lotte,Borussia Dortmund,,
Sportfreunde Lotte,Karlsruher SC,,
Sportfreunde Lotte,TSV 1860 Munich,,
Sportfreunde Lotte,Werder Bremen,,
Sportfreunde Siegen,FSV Frankfurt,,
Straelen,FC St. Pauli,,
Stuttgarter Kickers,Borussia Dortmund,,
Stuttgarter Kickers,Eintracht Frankfurt,,
Stuttgarter Kickers,SpVgg Greuther Furth,,
Stuttgarter Kickers,VfL Wolfsburg,,
Sv Morlautern,SpVgg Greuther Furth,,
TSV 1860 Munich,1899 Hoffenheim,,
TSV 1860 Munich,Borussia Dortmund,,
TSV 1860 Munich,Eintracht Frankfurt,,
TSV 1860 Munich,FC Ingolstadt 04,,
TSV 1860 Munich,FC Schalke 04,,
TSV 1860 Munich,Karlsruher SC,,
TSV 1860 Munich,SC Freiburg,,
TSV 1860 Munich,SV Darmstadt 98,,
TSV Steinbach,FC Augsburg,,
TSV Steinbach,SV Sandhausen,,
Teningen,FC Schalke 04,,
Teutonia Ottensen,Bayer Leverkusen,,
Teutonia Ottensen,RB Leipzig,,
Todesfelde,VfL Osnabruck,,
TuS Erndtebruck,Eintracht Frankfurt,,
TuS Erndtebruck,Hamburger SV,,
TuS Erndtebruck,SV Darmstadt 98,,
TuS Koblenz,Dynamo Dresden,,
TuS RW Koblenz,FC Kaiserslautern,,
