team_name,opponent_name,team_city,opponent_city,distance
Waalwijk,ADO Den Haag,Waalwijk,The Hague,63
Waalwijk,AZ Alkmaar,Waalwijk,Alkmaar,106
Waalwijk,Cambuur,Waalwijk,Leeuwarden,176
Waalwijk,De Treffers,Waalwijk,Groesbeek,61
Waalwijk,NAC Breda,Waalwijk,Breda,24
Waalwijk,Sparta Rotterdam,Waalwijk,Rotterdam,51
Westlandia,Excelsior Maassluis,Naaldwijk,Maassluis,7
Westlandia,VVV Venlo,Naaldwijk,Venlo,151
Willem II,AFC Amsterdam,Tilburg,Amsterdam,89
Willem II,AZ Alkmaar,Tilburg,Alkmaar,121
Willem II,Ajax,Tilburg,Amsterdam,90
Willem II,Heerenveen,Tilburg,Heerenveen,168
Willem II,Roda,Tilburg,Kerkrade,100
Willem II,Spakenburg,Tilburg,Bunschoten-Spakenburg,83
Willem II,Sparta Rotterdam,Tilburg,Rotterdam,61
Willem II,Vitesse,Tilburg,Arnhem,73
Willem II,Waalwijk,Tilburg,Waalwijk,16
Zwaluwen,Den Bosch,Vlaardingen,Den Bosch,70
